id,name,organization,country,region_scope,category,career_stage,program_type,cycle,deadline,deadline_iso,internal_deadline,stipend_funding,compute_budget,duration,cohort_start,url,description
fdl-ai-accelerator,"Frontier Development Lab (FDL - NASA, ESA & SETI)",Trillium Technologies / NASA / ESA / Google Cloud / NVIDIA,USA / UK,"USA (Mountain View, CA) & UK (Oxford) / Hybrid",8-12 Week Funded Sprints & Training,"Postdocs, PhD students, and advanced AI research engineers",8-12 Week Intensive,Spring (Annual summer intensive),"April 10, 2027 (Annual application cycle opens January/February)",2027-04-10,None (Direct application via FDL portal),"Fully funded weekly stipend ($1,000–$1,200/week, ~$8,000–$10,000 total) + accommodation & flights covered","Massive enterprise compute allocations provided by Google Cloud, NVIDIA, Intel, and AWS ($100k+ compute value per team)",8 weeks full-time (June – August 2027),June 2027,https://fdl.ai/,"High-intensity 8-week AI research accelerator pairing space scientists with machine learning researchers to solve critical challenges in heliophysics, planetary defense, Earth climate, and lunar exploration with massive supercomputing support."
cohere-scholars,Cohere For AI (C4AI) Scholars Program,Cohere For AI,USA / UK / Global,"Global / Remote-first (USA, UK, Canada, worldwide)",8-12 Week Funded Sprints & Training,"Early-career ML researchers, PhD students, and master's graduates",Short / Medium Intensive,Winter / Spring Intake,"February 15, 2027",2027-02-15,None (Direct application with research statement and code portfolio),"Fully paid competitive research salary ($56 – $64/hr, ~$9,000–$10,000/month)",Direct full access to Cohere's enterprise multi-thousand GPU/TPU training clusters for training and probing large foundation models,12 weeks to 6 months,April 2027,https://cohere.com/research/scholars,"A premier research accelerator led by Sara Hooker and Cohere researchers. Scholars design and execute independent research at the frontier of multilingual foundation models, reasoning, interpretability, and efficient LLM architectures."
iliad-fellowship,Iliad Fellowship in Applied Mathematics for AI Alignment,Iliad & PrincInt,UK / USA,UK (London / Oxford) & USA,8-12 Week Funded Sprints & Training,"PhD students, postdocs, and mathematicians/theoretical computer scientists",8-12 Week Intensive,Autumn & Spring Cycles,"November 25, 2026 (Spring 2027 Cohort)",2026-11-25,None (Direct application),Fully funded competitive living stipend + full accommodation provided in London + international travel covered,Dedicated GPU compute allocations for empirical verification of theoretical learning dynamics and developmental interpretability,12 weeks (3 months),January / February 2027,https://iliadfellowship.org/,"A 12-week research residency in London bringing together mathematicians, theoretical physicists, and AI alignment researchers to formalize mathematical frameworks for safety, singular learning theory, and agent dynamics."
spar-berkeley,Supervised Program for Alignment Research (SPAR),UC Berkeley AI Alignment,USA,USA (UC Berkeley) & Global / Remote,8-12 Week Funded Sprints & Training,"Undergraduate, Graduate (PhD/MS), and early-career researchers",8-12 Week Intensive,"Spring, Summer & Fall Rounds","January 15, 2027 (Spring 2027 Round)",2027-01-15,None (Direct application; matching with 130+ research projects),"Funded mentee research stipends ($2,000–$5,000 depending on hours and financial need)","Dedicated cloud GPU compute grants via RunPod, Lambda Labs, and Berkeley AI cluster credits",10 to 12 weeks,February 2027,https://berkeleyalignment.github.io/spar/,"Structured research program pairing rising researchers with experienced mentors from CHAI, Anthropic, Redwood Research, and OpenAI. Over 10-12 weeks, fellows work on concrete safety deliverables with full compute backing."
far-ai-fellowship,FAR.AI Alignment Research Sprints & Fellowship,FAR AI (Field Alignment Research),USA,"USA (Berkeley, CA)",8-12 Week Funded Sprints & Training,"PhD students, research engineers, and ML scientists",8-12 Week Intensive,Winter & Summer Sprints,"February 1, 2027 (Summer 2027 Sprint)",2027-02-01,None (Direct application via FAR.AI),"$7,000/month stipend (~$14,000–$21,000 total) + travel reimbursement and housing support in Berkeley","High-priority access to FAR AI's dedicated H100/A100 GPU clusters for red-teaming, jailbreak defenses, and automated auditing",8 to 12 weeks full-time,June 2027,https://far.ai/,"Intensive research sprint at FAR AI's Berkeley headquarters. Fellows build empirical AI safety tools, automated red-teaming harnesses, and evaluate frontier models with substantial cluster compute."
apart-lab-fellowship,Apart Lab Fellowship & Research Sprints,Apart Research,Global / UK / USA,Remote / London & San Francisco hubs,8-12 Week Funded Sprints & Training,"Early career researchers, engineers, and graduate students",8-12 Week Intensive,Quarterly Rolling Sprints,"October 31, 2026 (Winter Sprint)",2026-10-31,None (Direct application through Apart portal),"$4,000 – $8,000 project research grant","Direct GPU compute grants (RunPod, Lambda Labs, Vast.ai) + API inference credits for OpenAI, Anthropic, and Google Gemini",8 to 12 weeks,December 2026 / January 2027,https://apartresearch.com/,"Sprint-based AI safety research incubator where fellows design, test, and publish safety benchmarks, evals, and mechanistic interpretability experiments with fully subsidized compute and API credits."
cern-openlab-summer,CERN openlab Summer Student Programme (AI & HPC),CERN (European Organization for Nuclear Research),Switzerland (UK & USA eligible),"Geneva, Switzerland (Open to UK, US, and worldwide applicants)",8-12 Week Funded Sprints & Training,"Bachelor's, Master's, or entry PhD students in CS/AI/Physics",8-12 Week Intensive,Annual Summer Intake,"January 31, 2027 (Annually late January)",2027-01-31,"Requires CV, transcripts, and academic reference letters","CHF 90/day living allowance (~CHF 5,670 / $6,500 total) + travel allowance + health insurance","Full access to CERN's worldwide computing grid (WLCG), high-throughput GPU clusters, and cutting-edge quantum/AI testbeds",9 weeks (June – August 2027),June 2027,https://openlab.cern/education,"Prestigious 9-week high-performance computing and AI summer research program at CERN in Geneva. Students work on cutting-edge deep learning, simulation, and data pipelines on the world's most powerful scientific computing infrastructure."
eleutherai-fellowship,EleutherAI Resident & Research Fellowship,EleutherAI Institute,USA / Global,Remote-first / USA & Global,8-12 Week Funded Sprints & Training,"ML engineers, open-source contributors, and PhD researchers",Short / Medium Intensive,Rolling / Biannual Cohorts,"November 30, 2026 (Spring Cohort)",2026-11-30,None (Direct application via open call),"Competitive monthly research stipend ($4,000–$7,000/month)",Massive multi-node GPU cluster allocations sponsored by CoreWeave and academic supercomputing networks for training open LLMs,12 weeks to 6 months,February 2027,https://www.eleuther.ai/,"Full-time research residency at the premier non-profit AI research lab. Fellows research LLM pre-training dynamics, mechanistic interpretability, multimodal architectures, and open evaluation harnesses with massive GPU compute."
turing-data-study-groups,Turing Data Study Groups (DSGs - Alan Turing Institute),The Alan Turing Institute,UK,UK (London / British Library),8-12 Week Funded Sprints & Training,"PhD students, postdocs, and early-career data scientists",Short / Medium Intensive,"Multiple cohorts per year (Autumn, Spring, Summer)","October 24, 2026 (Winter DSG round)",2026-10-24,University PhD supervisor permission required,"All travel, accommodation in central London, and subsistence fully funded by the Alan Turing Institute","Direct access to the UK National Supercomputing Service (ARCHER2), JADE Tier-2 GPU cluster, and Turing Cloud Federation",1-3 week intensive sprint + 8-12 week extended doctoral follow-up collaboration,December 2026,https://www.turing.ac.uk/collaborate-turing/data-study-groups,"Collaborative 'hackathon-style' machine learning sprints bringing together cohorts of talented researchers to solve real-world data science and AI challenges with leading industry, government, and charity partners."
apple-scholars-aiml,Apple Scholars in AI/ML PhD Fellowship,Apple,USA / UK / Global,"Invited partner universities in USA, UK, and worldwide",Industry PhD Fellowships,PhD Candidate (Final 2-3 years of PhD; institutional nomination required),Multi-Year Fellowship,Late Summer / Early Autumn,"September 8, 2026 (Final university nomination to Apple)",2026-09-08,Universities mandate internal submissions in July/August,Full tuition & fees + competitive living stipend + Apple research internship & mentorship,Dedicated Apple internal compute infrastructure during internship/collaboration,Up to 2 years,Fall 2027,https://machinelearning.apple.com/,"Recognizes promising graduate researchers in machine learning, artificial intelligence, robotics, speech synthesis, and privacy-preserving machine learning."
nvidia-graduate-fellowship,NVIDIA Graduate Fellowship,NVIDIA,USA,USA / Global PhD students,Industry PhD Fellowships,PhD Candidate (Completed 1st year of PhD),Annual Fellowship,Autumn,"September 15, 2026 (Annually mid-September)",2026-09-15,Typically requires departmental endorsement,"Up to $60,000 per award + access to NVIDIA hardware/GPU clusters + direct mentorship","Direct access to NVIDIA internal GPU compute clusters, DGX systems, and software toolkits",1 academic year,Fall 2027,https://www.nvidia.com/en-us/research/graduate-fellowships/,"Funds PhD students conducting innovative research in artificial intelligence, computer architecture, GPU computing, machine learning, and robotics."
ibm-phd-fellowship,IBM PhD Fellowship Award,IBM Research,USA / UK / Global,"USA, UK, and worldwide participating universities",Industry PhD Fellowships,PhD Candidate (Nominated by university department),Multi-Year Fellowship,Autumn,"September 16, 2026 (Annually mid-September)",2026-09-16,University nomination cutoffs usually early September,"Stipend of $40,000 (US) / local equivalent (e.g. £25,000+ in UK) + education allowance + IBM research mentor",Access to IBM Cloud HPC and IBM Quantum computing systems,2 academic years (renewable),Fall 2027,https://research.ibm.com/university/awards/fellowship,"Competitive global fellowship honoring exceptional PhD students engaged in disruptive technologies: foundational AI, generative models, quantum AI, and hybrid cloud."
meta-phd-fellowship,Meta Research PhD Fellowship,Meta,USA / UK / Global,Global (enrolled in accredited PhD program worldwide),Industry PhD Fellowships,Full-time PhD students (years 1–4+),Multi-Year Fellowship,Autumn,"September 20, 2026",2026-09-20,None (Direct application via Meta Research portal),"Two full academic years paid tuition and mandatory fees + $42,000 annual living stipend + $5,000 annual travel grant",Meta Research collaboration resources & travel support,2 academic years,Fall 2027,https://metaresearch.facebook.com/fellowship/,"Premier corporate fellowship covering AI and machine learning fields including computer vision, NLP, robotics, AI systems, audio, and safety."
jane-street-grf,Jane Street Graduate Research Fellowship,Jane Street,USA / UK / Global,"USA, UK, Canada, and global PhD programs",Industry PhD Fellowships,PhD Candidate (2nd to 4th year),Annual Fellowship,Autumn,"November 13, 2026 (23:59 AoE)",2026-11-13,"None (Direct application; requires CV, research statement, and letter)","Fully unrestricted: $45,000 living stipend + full tuition and university fees + all-expenses-paid research symposium in NYC",Unrestricted funds can be deployed freely toward personal cloud compute,1 academic year,Fall 2027,https://www.janestreet.com/join-jane-street/programs-and-events/graduate-research-fellowship/,"Supports exceptional graduate students conducting pure or applied research in computer science, machine learning, statistics, and mathematics with zero intellectual property claims or work requirements."
qualcomm-qinf-north-america,Qualcomm Innovation Fellowship (North America),"Qualcomm Technologies, Inc.",USA,USA & Canada (Designated partner research universities),Industry PhD Fellowships,PhD student teams (Pairs of two PhD researchers),Annual Fellowship,Late Autumn,"December 1, 2026 (Typically late November / early December)",2026-12-01,Proposals submitted collaboratively by two PhD students with faculty advisor sign-off,"$100,000 per winning pair ($50,000 per fellow) + dedicated Qualcomm R&D mentors",Qualcomm AI hardware developer kits & edge accelerator access,1 academic year,Fall 2027,https://www.qualcomm.com/research/university-relations/innovation-fellowship,"Fosters innovative student-driven research proposals across AI, machine learning architectures, multimodal AI, edge computing, and wireless communications."
microsoft-research-fellowship,Microsoft Research Fellowship Program,Microsoft Research,USA / UK / Global,"USA, UK, Europe, and global research regions",Industry PhD Fellowships,PhD candidates and early-career postdocs,Multi-Year Fellowship,Early Winter (Call opens November 4),"December 16, 2026 (23:59 ET)",2026-12-16,Direct proposal submission via Microsoft Conference Management Toolkit,Financial research award + direct collaboration with Microsoft Research scientists,Generous Microsoft Azure cloud compute allocations & GPU VM clusters,1 to 2 academic years,Fall 2027,https://www.microsoft.com/en-us/research/academic-programs/fellowships/,"Collaborative research fellowship empowering academics and researchers across the globe to pursue ground-breaking challenges in multimodal AI, systems, and theoretical CS."
qualcomm-qinf-europe,Qualcomm Innovation Fellowship Europe (UK & EU),"Qualcomm Technologies, Inc.",UK,"UK & European invited universities (Oxford, Cambridge, Imperial, UCL, Edinburgh, etc.)",Industry PhD Fellowships,"PhD students in Electrical Engineering, AI, and Computing",Annual Fellowship,Mid Winter,"January 28, 2027 (Annually late January)",2027-01-28,Proposals submitted with faculty supervisor endorsement,"€40,000 / £35,000 fellowship prize + Qualcomm R&D mentorship in Cambridge or Munich","Qualcomm hardware platforms, NPU SDKs, and edge AI testbeds",1 academic year,October 2027,https://www.qualcomm.com/research/university-relations/innovation-fellowship,"Rewards top doctoral researchers in Europe and the UK advancing autonomous systems, machine learning for signal processing, and low-power neural computing."
google-phd-fellowship,Google PhD Fellowship,Google Research,USA / UK / Global,"USA, UK, Europe, Africa, Asia-Pacific, Latin America",Industry PhD Fellowships,Full-time PhD students nominated by eligible universities,Multi-Year Fellowship,Spring,"April 30, 2027 (Annually late April; portal opens March)",2027-04-30,University internal sifts occur in February/March (institutions have strict nomination caps),"Up to 3 years: full tuition and mandatory fees paid + $40,000–$60,000/year living stipend (based on country) + 1-on-1 Google Research Mentor",Google Cloud Platform (GCP) research credits & TPU access during collaborations,Up to 3 years,Fall 2027,https://research.google/outreach/phd-fellowship/,"Acknowledges world-class graduate students pursuing research in artificial intelligence, machine learning, computer systems, natural language processing, privacy, and algorithms."
openai-residency,OpenAI Residency Program,OpenAI,USA,"USA (San Francisco, CA)",Industry PhD Fellowships,"Engineers, scientists, and researchers with STEM backgrounds transitioning to AI",Residency (6 months),Rolling / Ongoing seasonal cohorts,Rolling (Reviewed on ongoing seasonal basis),2027-12-31,None (Direct online application),"Annualized salary equivalent of $210,000/year ($17,500/month) + full health insurance + direct pathway to Member of Technical Staff",Massive internal compute allocations on OpenAI's supercomputing clusters,6 months full-time,Semi-annual cohorts (Spring and Fall),https://openai.com/careers/residency/,Prestigious bridge program for exceptionally talented engineers and researchers to transition into frontier AI research working directly alongside OpenAI core teams.
era-ai-fellowship,ERA:AI Fellowship (Cambridge),ERA (Equipping Researchers in AI),UK,UK (Cambridge) / Global Applicants,"AI Safety, Alignment & Policy","Undergraduate, Graduate, Early-Career Researchers",8-12 Week Intensive,Winter Cohort (Annual Winter & Summer cycles),"September 13, 2026 (23:59 AoE)",2026-09-13,None (Direct application; reviewed on rolling basis),"Fully funded: £10,000 stipend, private accommodation in Cambridge, meals, travel and visa support",Dedicated cloud compute budget for mechanistic interpretability and model evaluations,"10 weeks (January 18 – March 26, 2027)","January 18, 2027",https://www.erafellowship.org,"Elite 10-week intensive research fellowship in Cambridge focusing on technical AI safety, AI governance, and biological/cyber risks from frontier AI models."
aaas-stpf-ai,AAAS Science & Technology Policy Fellowship (AI / STPF),American Association for the Advancement of Science,USA,"USA (Washington, D.C.)","AI Safety, Alignment & Policy",Doctoral degree holders or MS in engineering + 3 years experience,Policy Fellowship (1-2 years),Autumn,"November 1, 2026 (23:59 ET)",2026-11-01,Direct application; candidate interviews held in February/March,"$89,000 – $116,000 annual stipend (commensurate with experience) + health insurance + professional development allowance","Federal agency computing access (NIST, OSTP, State Dept)",1 year (option to renew for a 2nd year),"September 1, 2027",https://www.aaas.org/programs/science-technology-policy-fellowships,"Places technical AI scientists into executive federal agencies (NIST, OSTP, State Dept, DoD) and US Congress to steer federal AI policy, regulatory standards, and technology governance."
harvard-berkman-klein,Harvard Berkman Klein Center Fellowship,"Berkman Klein Center for Internet & Society, Harvard University",USA,"USA (Cambridge, MA / Hybrid)","AI Safety, Alignment & Policy","Scholars, practitioners, technologists, and civil society leaders",Academic Fellowship (1 year),Early Winter,"December 5, 2026 (Annually early December)",2026-12-05,Direct application via BKC portal,"Stipend support (range $60,000–$80,000 depending on fellowship track) + access to Harvard resources, seminars, and collaborative initiatives",Harvard University IT & Cannon cluster access,1 academic year,September 2027,https://cyber.harvard.edu/getinvolved/fellowships,"Brings together international researchers addressing algorithmic governance, frontier AI social impacts, content provenance, AI accountability, and digital ethics."
tarbell-fellowship,Tarbell Fellowship (AI Journalism & Investigation),Tarbell Center for AI Journalism,USA / UK / Remote,"USA, UK, and Global (Hybrid / Newsroom placement)","AI Safety, Alignment & Policy","Early-career journalists, technical writers, and researchers",Fellowship (9 months),Mid Winter (Opens November),"January 7, 2027 (Typically first week of January)",2027-01-07,Direct application via portal; involves short reporting challenge,"$45,000 – $60,000 stipend + full placement at major newsroom (e.g., TIME, The Guardian, Vox, etc.) + 2-week Oxford kickoff summit",Reporting expense budget covering data analysis & API access,9 months (starting March/April 2027),March 2027,https://www.tarbellcenter.org/fellowship,"Prepares and funds the next generation of journalists and investigative researchers to produce high-impact, technically grounded reporting on frontier artificial intelligence and existential risk."
govai-summer-fellowship,Centre for the Governance of AI (GovAI) Summer Fellowship,Centre for the Governance of AI,UK / USA,"UK (Oxford) & USA (Washington, D.C.)","AI Safety, Alignment & Policy","Predoctoral, Postdoctoral, and Early-to-Mid Career Policy Researchers",8-12 Week Intensive,Late Winter / Early Spring,"March 1, 2027 (Annually late February / early March)",2027-03-01,Direct application with writing sample and research statement,"Fully funded: competitive monthly stipend, office space in Oxford or DC, housing allowance, and travel reimbursement","Compute & data budget for AI policy modeling, compute governance tracking, and hardware analysis",3 months / 12 weeks (June – August 2027),June 2027,https://www.governance.ai/,"Leading global fellowship training researchers to analyze the risks, strategic dynamics, and international governance frameworks necessary for transformative and artificial general intelligence."
mats-summer-cohort,MATS (ML Alignment & Theory Scholars) Summer Program,MATS Program,USA / UK,"USA (Berkeley, CA) & UK (London) / Hybrid","AI Safety, Alignment & Policy","Undergraduate, Masters, PhD, and independent ML researchers",8-12 Week Intensive,Early Spring,"March 30, 2027 (Annually late March / early April)",2027-03-30,Direct application via portal; includes track-specific technical selection questions,"Fully funded: competitive stipend ($10,000–$14,000 for 10-12 weeks) + housing provided + mentorship from world-leading alignment researchers",Massive high-end GPU compute credits (thousands of A100/H100 hours) for training & mechanistic interpretability probing,10 to 12 weeks (June – August 2027),June 2027,https://www.matsprogram.org/,"The premier incubator for technical AI alignment research, pairing scholars directly with senior scientists (e.g. Neel Nanda, Owain Evans) to produce peer-reviewed research in mechanistic interpretability, agent foundations, and red-teaming."
anthropic-fellows,Anthropic Fellows Program & AI Safety Residency,Anthropic,USA / UK,"USA (San Francisco, CA) & UK (London)","AI Safety, Alignment & Policy","Engineers, researchers, and PhD candidates in alignment and interpretability",Residency (6-12 months),Rolling / Semi-annual cohort announcements,Rolling (Continuous review for cohort intakes),2027-12-31,None (Direct online application via careers portal),Top-tier competitive base salary + full benefits + 1-on-1 safety researcher mentorship,Unrestricted direct access to massive Claude training clusters and interpretability rigs,6 to 12 months (often converts to permanent MTS roles),Spring & Autumn cohorts,https://www.anthropic.com/careers,"Direct engagement with frontier AI alignment, scalable oversight, mechanistic interpretability, and red-teaming with the creators of Claude."
princeton-citp-fellowship,Princeton CITP Fellows Program,"Center for Information Technology Policy, Princeton University",USA,"USA (Princeton, NJ)",Postdoctoral & Early Career,"Postdoctoral Scholars, Faculty, and Policy Practitioners",Postdoc Fellowship (1-2 years),Late Autumn / Early Winter,"December 1, 2026 (Review begins Dec 1 / final cutoff Dec 8)",2026-12-01,Direct application via Princeton Academic Hiring portal,"Fully funded postdoctoral salary (~$80,000–$90,000) + health benefits + research and travel allowance",Princeton Research Computing cluster allocations (Della & Tiger),1 to 2 years,September 2027,https://citp.princeton.edu/programs/fellows/,"Supports scholars and technical experts conducting multidisciplinary research on AI safety, machine learning fairness, surveillance technology, tech policy, and open digital ecosystems."
harvard-hdsi-postdoc,Harvard Data Science Initiative (HDSI) Postdoctoral Fellowship,Harvard Data Science Initiative,USA,"USA (Cambridge / Boston, MA)",Postdoctoral & Early Career,Postdoctoral researchers (Completed PhD within past 3 years),Postdoc Fellowship (2 years),Early Winter,"December 10, 2026",2026-12-10,Requires prospective sponsorship by two Harvard faculty members across different departments,"$85,000+ annual salary + full benefits + $10,000 annual discretionary research/travel budget",Full access to Harvard FAS Cannon computing cluster and cloud credits,2 years,July–September 2027,https://datascience.harvard.edu/postdoctoral-fellows,"Fosters cross-disciplinary innovation at Harvard where foundational methodology in machine learning, statistics, and computer science merges with domain science applications."
stanford-hai-postdoc,Stanford HAI / SAIL Postdoctoral Fellowship,Stanford Institute for Human-Centered Artificial Intelligence & SAIL,USA,"USA (Stanford, CA)",Postdoctoral & Early Career,"Postdoctoral researchers in CS, AI, Cognitive Science, or Policy",Postdoc Fellowship (1-2 years),Early Winter,"December 15, 2026 (Review begins mid-December)",2026-12-15,Direct application with research statement and faculty alignment,"$85,000–$95,000 annual salary + full Stanford postdoc benefits + travel funds",Generous dedicated Stanford AI Lab compute allocations and cloud credits,1 to 2 years,September 2027,https://hai.stanford.edu/,"Positions postdoctoral researchers at the frontier of human-centered AI, neural network foundation models, interactive intelligence, and societal governance."
schmidt-science-fellows,Schmidt Science Fellows (2027–2028 Cohort),Schmidt Sciences / Rhodes Trust,USA / UK / Global,Global (PhD completed at eligible nominating institution),Postdoctoral & Early Career,Graduating PhD students pivoting into interdisciplinary research,Postdoc Fellowship (1-2 years),Spring (Internal university nominations),"April 15, 2027 (Internal university cutoffs March/April; global dossier due July)",2027-04-15,Strict university nomination limits (usually 2-8 candidates per top university),"$110,000 annual stipend for up to 2 years + global leadership meetings in Oxford, Cambridge, MIT + lifelong fellowship support",Placement laboratory provides high-end compute and laboratory funding,1 to 2 years,July 2028,https://schmidtsciencefellows.org/,"Visionary postdoctoral fellowship encouraging brilliant PhD graduates in natural sciences or computing to pivot into an entirely new discipline, utilizing AI and computation to tackle complex global problems."
